"","label","publication_type","author","year","date_published","title","source","volume","issue","start_page","end_page","issn","pubmed_id","accession_number","orcid_id","researcher_id","abstract","doi","eissn","conference_name","conference_location","conference_date","conference_sponsor","supplement","article_number"
"1","AITKEN_1988","J","AITKEN, PP and EADIE, DR and LEATHAR, DS and MCNEILL, REJ and SCOTT, AC",1988,"DEC 1988","TELEVISION ADVERTISEMENTS FOR ALCOHOLIC DRINKS DO REINFORCE UNDERAGE DRINKING","BRITISH JOURNAL OF ADDICTION",83,12,1399,1419,"0952-0481","3233409","WOS:A1988R301400007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Austin_2000","J","Austin, EW and Knaus, C",2000,"JAN-MAR 2000","Predicting the potential for risky behavior among those ""too young"" to drink as the result of appealing advertising","JOURNAL OF HEALTH COMMUNICATION",5,1,13,27,"1081-0730","10848029","WOS:000085721100002","Austin, Erica/0000-0003-2334-8918; Knaus, and Christopher/0000-0002-3950-7576","Austin, Erica/A-1391-2015; Knaus, Christopher/","A survey of 273 children in Washington state used a predrinking behavior index as a behavioral outcome to assess media effects on precursors to drinking among children for whom alcohol consumption is not yet occurring. It also examined age trends in relevant beliefs and behaviors. Perceptions of advertising desirability, the extent to which it seemed appealing, increased steadily from third to ninth grade, whereas identification with portrayals, the degree to which individuals wanted to emulate portrayals, leveled off after sixth grade. Expectancies, positive social benefits perceived to be associated with drinking alcohol, also increased with age, particularly between sixth and ninth grade. When demographics and grade level were controlled, desirability predicted identification, and bath predicted expectancies, which is consistent with media decision-making theory. Expectancies correlated with alcohol predrinking behavior, and expectancies predicted risky behavior, with demographics and grade level controlled. Predrinking behavior and reported risky behavior were correlated. The results provide cross-sectional support for the view that beliefs and desires developing by third grade prime children for future decisions regarding substance use.",NA,NA,NA,NA,NA,NA,NA,NA
"3","Austin_2000_1","J","Austin, EW and Pinkleton, BE and Fujioka, Y",2000,"FEB 2000","The role of interpretation processes and parental discussion in the media's effects on adolescents' use of alcohol","PEDIATRICS",105,2,343,349,"0031-4005","10654953","WOS:000085106500020","Austin, Erica/0000-0003-2334-8918","Austin, Erica/A-1391-2015","Objective. The process that connects media use with alcohol-related beliefs and behaviors has not been well documented. To address this issue, we examined adolescents' viewing patterns, beliefs about alcohol and media messages, and parental discussion of media messages in the context of a theoretical model of message interpretation processes. Measures included the degree to which adolescents found portrayals desirable, realistic, and similar to their own lives; the degree to which they wanted to be like (identify with) the portrayals; and the degree to which they associated positive outcomes with drinking alcohol (expectancies). Design. Cross-sectional survey. Setting. Two public high schools in the California central coastal area that include a diverse population in terms of ethnic origin, income level, and education level. Participants. Ninth-grade students (n = 252) and 12th-grade students (n = 326). Outcome Measures. Students reported the number of days within the past week watching various genres of television content, along with perceptions of realism of content, desirability of portrayals, identification with portrayals, expectancies toward alcohol use, personal norms for alcohol use, desire for products with alcohol logos, current alcohol use, frequency of parental reinforcement, and counter-reinforcement of television messages. Associations were examined via hierarchical multiple regression analysis. Results. Effects of media exposure on drinking behavior, controlling for grade level, ethnicity, gender, household income, and education levels were primarily positive and indirect, operating through a number of intervening beliefs, especially expectancies (beta = .59; r(2) = .33). Direct associations, primarily with exposure to late-night talk shows (beta = .12; r(2) = .01), were small. Parental discussion also affected behavior indirectly, operating through expectancies, identification, and perceived realism. The appeal of products with alcohol logos, which was higher among the younger students (t = 3.44) and predicted by expectancies (beta = .37; r(2) = .13), sports viewing (beta = .17; r(2) = .03) and late-night talk shows (beta = .10; r(2) = .01), predicted actual drinking behavior (beta = .22; r(2) = .04). Drinking behavior was higher among the older students (t = -2.515). Conclusions. Adolescents make drinking decisions using a progressive, logical decision-making process that can be overwhelmed by wishful thinking. The potential risk of frequent exposure to persuasive alcohol portrayals via late-night talk shows, sports, music videos, and prime-time television for underage drinking is moderated by parental reinforcement and counter-reinforcement of messages. Interventions need to acknowledge and counter the appeal of desirable and seemingly realistic alcohol portrayals in the media and alert parents to their potential for unintended adverse effects.","10.1542/peds.105.2.343",NA,NA,NA,NA,NA,NA,NA
"4","Bonomo_2001","J","Bonomo, Y and Coffey, C and Wolfe, R and Lynskey, M and Bowes, G and Patton, G",2001,"OCT 2001","Adverse outcomes of alcohol use in adolescents","ADDICTION",96,10,1485,1496,"0965-2140","11571067","WOS:000171109900012","Patton, George C/0000-0001-5039-8326;","Patton, George C/B-5246-2013; Lynskey, Michael/A-3181-2008; Lynskey, michael T/B-9179-2016","Aims. To compare the occurrence of behaviours occurring under the influence of alcohol in 16-17-year-olds and determine associated risk factors for the different behaviours. Design/setting. Cross-sectional survey administered by laptop computers in secondary schools across the state of Victoria, Australia. Measurement/findings. The participation rate was 79%. Seventy per cent of participants drank alcohol; 17% of drinkers reported alcohol-related violence (accidents or injuries) and 15% reported problems relating to sex under the influence of alcohol (having sex and later regretting it or having had unsafe sex) in the previous 12 months. Males were more likely to report alcohol-related violence (20% compared to 14% females). Almost one in 10 young people reported having sex while under the influence of alcohol and later regretting it and 10% reported having had unsafe sex. There were no significant gender differences in the reporting rates of alcohol-related sexual risk taking (prop. cum. OR 1.1, 95% CI 0.68-1.9). For alcohol-related injuries, strong independent associations were found with dose of alcohol consumed (prop. cum. OR 2.3, 95% CI 1.3-4.0), frequency of alcohol consumption (prop. cum. OR 2.7, 95% CI 0.94-7.5), antisocial behaviour (prop. cum. OR 2.4, 95% CI 1.4-4.1) and peer drinking (prop. cum. OR 3.3, 95% CI 1.4-8.1). For alcohol-related sexual risk-taking, psychiatric morbidity (prop. cum. OR 4.1, 95% CI 1.9-9.0) and high frequency of alcohol consumption (prop. cum. OR 2.0, 95% CI 0.87-4.6) had strong independent associations. Conclusions. Physical injury and high-risk sexual behaviour under the influence of alcohol are common in teenagers. Alcohol-related physical injury appears closely related to patterns of alcohol consumption whereas alcohol-related sexual risk-taking is most closely associated with symptoms of depression and anxiety.","10.1046/j.1360-0443.2001.9610148512.x",NA,NA,NA,NA,NA,NA,NA
"5","Bonomo_2004","J","Bonomo, YA and Bowes, G and Coffey, C and Carlin, JB and Patton, GC",2004,"DEC 2004","Teenage drinking and the onset of alcohol dependence: a cohort study over seven years","ADDICTION",99,12,1520,1528,"0965-2140","15585043","WOS:000225791000009","Carlin, John B/0000-0002-2694-9463; Carlin, John/0000-0002-2694-9463; and Patton, George C/0000-0001-5039-8326","Carlin, John B/B-3492-2012; Carlin, John/AAG-4332-2020; Patton, George C/B-5246-2013","Aim To determine whether adolescent alcohol use and/or other adolescent health risk behaviour predisposes to alcohol dependence in young adulthood. Design Seven-wave cohort study over 6 years. Participant A community sample of almost two thousand individuals followed from ages 14-15 to 20-21 years. Outcome measure Diagnostic and Statistical Manual volume IV (DSM-IV) alcohol dependence in participants aged 20-21 years and drinking three or more times a week. Findings Approximately 90% of participants consumed alcohol by age 20 years, 4.70% fulfilling DSM-IV alcohol dependence criteria. Alcohol dependence in young adults was preceded by higher persisting teenage rates of frequent drinking [odds ratio (OR) 8.1, 95% confidence interval (CI) 4.2, 16], binge drinking (OR 6.7, 95% CI 3.6, 12), alcohol-related injuries (OR 4.5 95% Cl 1.9, 11), intense drinking (OR 4.8, 95% Cl 2.6, 8.7), high dose tobacco use (OR 5.5, 95% CI 2.3, 13) and antisocial behaviour (OR 5.9, 95% CI 3.3, 11). After adjustment for other teenage predictors frequent drinking (OR 3.1, 95% CI 1.2, 7.7) and antisocial behaviour (OR 2.4, 95% Cl 1.2, 5.1) held persisting independent associations with later alcohol dependence. There were no prospective associations found with emotional disturbance in adolescence. Conclusion Teenage drinking patterns and other health risk behaviours in adolescence predicted alcohol dependence in adulthood. Prevention and early intervention initiatives to reduce longer-term alcohol-related harm therefore need to address the factors, including alcohol supply, that influence teenage consumption and in particular high-risk drinking patterns.","10.1111/j.1360-0443.2004.00846.x",NA,NA,NA,NA,NA,NA,NA
"6","Casswell_2002","J","Casswell, S and Pledger, M and Pratap, S",2002,"NOV 2002","Trajectories of drinking from 18 to 26 years: identification and prediction","ADDICTION",97,11,1427,1437,"0965-2140","12410783","WOS:000179102000008","Pledger, Megan/0000-0003-1669-8346","Pledger, Megan/B-6696-2012","Objective To identify developmental trajectories of drinking between the ages of 18 and 26 years and to identify variables, amenable to policy influence, which predict these trajectories. Design Longitudinal data were analysed using latent class mixture modelling. Setting Participants were interviewed in a central location. Participants Provincial city birth cohort, cross-national studies suggest findings are generalizable to other similar market economics. Measurements The frequency of drinking over the past year and the typical quantity consumed per drinking occasion were computed from five location-specific questions. Measures used to predict membership of trajectory groups were case of access to alcohol, drinking on licensed premises, response to alcohol advertising, educational achievement, parental consumption, age of onset of regular drinking and living arrangements. Results Three trajectories of quantities consumed showed reduced consumption after age 21 but one trajectory showed marked increases. Three trajectories of frequency of drinking increased or remained stable over time. Access to licensed premises at age 18 had the most significant impact on membership of the trajectory groups and educational achievement had a significant impact on membership of the heavier quantity trajectory groups. Parental alcohol consumption, access to alcohol at 15 years, liking for alcohol advertising, living arrangement and age of onset of regular drinking also influenced trajectory membership. Conclusions Quantity and frequency of drinking in adolescence and early adulthood had different trajectories. Membership of heavier drinking groups was affected by environmental influences which are subject to policy change, particularly that of earlier access to licensed premises. In a small group high-quantity consumption did not decrease at age 26.","10.1046/j.1360-0443.2002.00220.x",NA,NA,NA,NA,NA,NA,NA
"7","Casswell_1998","J","Casswell, S and Zhang, JF",1998,"AUG 1998","Impact of liking for advertising and brand allegiance on drinking and alcohol-related aggression: a longitudinal study","ADDICTION",93,8,1209,1217,"0965-2140","9813902","WOS:000075080100009",NA,NA,"Aims. To test a hypothesized model of the effect of televised alcohol advertising and allegiance to specific brands of beer on subsequent beer consumption and self-reports of aggressive behaviour linked with drinking. Design. Structural equation modelling was wed to assess the fit between data collected as part of a longitudinal study of young people's health and development and a hypothesized model based on theoretical perspectives and previous research. Setting. A birth cohort has been assessed every few years, most of them in their home city of Dunedin, New Zealand. The questions about alcohol are asked as part of the day-long assessment. Participants. Members of a longitudinal survey cohort at ages 18 and 21 years. Data from 630 beer drinking participants were analysed in this study. Measurements. Responses to questions about beer consumption, liking for advertising, favourite brand of beer and self-reports of alcohol-related aggressive behaviour. Findings. Our hypothesized model assumed a positive impact of liking of alcohol advertising and brand allegiance at age 18 on the volume of beer consumed at age 21 and self-reports of alcohol-related aggressive behaviour. This was found to be a good fit to the data from the longitudinal study. Conclusion. This measurable impact of alcohol advertising occurred during a time of decline in aggregate alcohol in New Zealand. While this effect was not large enough to halt the decline in aggregate alcohol consumption it does indicate a measurable, specific impact of broadcast alcohol advertising on alcohol consumption and related behaviour which is of relevance for public health policy.","10.1046/j.1360-0443.1998.93812099.x",NA,NA,NA,NA,NA,NA,NA
"8","Casswell_1995","J","Casswell, S",1995,"1995","Does alcohol advertising have an impact on the public health?","DRUG AND ALCOHOL REVIEW",14,4,395,403,"0959-5236","16203340","WOS:A1995TU01800008",NA,NA,"This presentation draws on recent New Zealand and international research to examine a number of questions about the possible public health impact of policy which allows alcohol to be advertised on the broadcast media, The relevant public health questions include: the contribution of alcohol advertising to aggregate levels of consumption and alcohol-related problems; the impact on the drinking and attitudes of the heaviest drinking sector, young males, who tend to be a primary target for the advertising; the impact on those already experiencing problems associated with their drinking and wanting to abstain or cut down; the impact on the young as they move towards becoming drinkers; the impact on the likely efficacy of educational campaigns about drinking; and the impact on the social climate surrounding alcohol and in turn on the support for effective public policies to reduce alcohol-related harm, Research in this area has increased in both conceptual and methodological sophistication in the past decade and studies using a number of complementary methods are available to assist our understanding of the likely impact of broadcast alcohol advertising, Evidence that advertising is likely to contribute to higher levels of drinking and related problems has strengthened over the past decade, suggesting that public health interests should be considered as one of the relevant voices in the ongoing policy debate around alcohol advertising.","10.1080/09595239500185541",NA,NA,NA,NA,NA,NA,NA
"9","Chen_2005","J","Chen, MJ and Grube, JW and Bersamin, M and Waiters, E and Keefe, DB",2005,"SEP 2005","Alcohol advertising: What makes it attractive to youth?","JOURNAL OF HEALTH COMMUNICATION",10,6,553,565,"1081-0730","16203633","WOS:000232661000006","Grube, Joel/0000-0003-1099-8743",NA,"This paper investigates the affective responses of youth toward specific elements featured in television alcohol advertisements (i.e., people character, animal character, music, story, and humor). It also examines the associations between advertising likeability and its potential influence. Respondents were 253 children and adolescents in California (47% male; aged 10-17). Data were collected using self-administered questionnaires in group settings. Respondents were shown a stimulus tape containing television advertisements for beer and soft drinks. The tape was stopped at the end of each advertisement to allow respondents to answer questions about that advertisement before viewing the next. Perceived likeability of beer advertisements is a function of the positive affective responses evoked by the specific elements featured in the advertisements. Liking of specific elements featured in beer advertisements significantly contributed to the overall likeability of these advertisements and subsequently to advertising effectiveness indicated by purchase intent of product and brand promoted by these advertisements. Advertisements that focus primarily on product qualities or send a message of legal drinking age were rated less favorably and evoked less desire to purchase the product. Implications for countering the effects of alcohol advertising on young people are discussed.","10.1080/10810730500228904","1087-0415",NA,NA,NA,NA,NA,NA
"10","Collins_2007","J","Collins, Rebecca L. and Ellickson, Phyllis L. and McCaffrey, Daniel and Hambarsoomians, Katrin",2007,"JUN 2007","Early adolescent exposure to alcohol advertising and its relationship to underage drinking","JOURNAL OF ADOLESCENT HEALTH",40,6,527,534,"1054-139X","17531759","WOS:000246925900007",NA,NA,"Purpose: To determine whether early adolescents who are exposed to alcohol marketing are subsequently more likely to drink. Recent studies suggest that exposure to alcohol ads has a limited influence on drinking in mid-adolescence. Early adolescents may be more vulnerable to alcohol advertising effects. Methods: Two in-school surveys of 1786 South Dakota youth measured exposure to television beer advertisements, alcohol ads in magazines, in-store beer displays and beer concessions, radio-listening time, and ownership of beer promotional items during 6th grade, and drinking intentions and behavior at 7th grade. Multivariate regression equations predicted the two drinking outcomes using the advertising exposure variables and controlling for psychosocial factors and prior drinking. Results: After adjusting for covariates, the joint effect of exposure to advertising from all six sources at grade 6 was strongly predictive of grade 7 drinking and grade 7 intentions to drink. Youth in the 75th percentile of alcohol marketing exposure had a predicted probability of drinking that was 50% greater than that of youth in the 25th percentile. Conclusions: Although causal effects are uncertain, policy makers should consider limiting a variety of marketing practices that could contribute to drinking in early adolescence. (c) 2007 Society for Adolescent Medicine. All rights reserved.","10.1016/j.jadohealth.2007.01.002","1879-1972",NA,NA,NA,NA,NA,NA
